api,scope,field,name_ja,agent_pick,priority,effect_setcount,effect_price,effect_human,flow_tags,note,in_logical_crosswalk,keepa_full_column
Keepa product,product,imagesCSV / image,画像,◎使えそう,P0,中,低,中,A_Keepa,トークンからURL組み立て,Y,Y
Keepa product,product,title,商品名,◎使えそう,P0,中,低,中,A_Keepa,,Y,Y
Keepa product,product,features,商品ハイライト,○補助,P1,無,低,中,A_Keepa,配列。空のことが多い,N,N
Keepa product,product,stats.avg90[3],売れ筋ランキング: 90 日平均,K Keepa専用,P1,無,低,中,"A_Keepa,FBA",stats指定が必要,N,Y
Keepa product,product,stats.avg365[3],売れ筋ランキング: 365 日平均,○補助,P1,無,低,中,A_Keepa,stats=365,N,N
Keepa product,product,avg90 と現在の比,売れ筋ランキング: 90日間の下落 %,△後続,P2,無,低,中,A_Keepa,CSVの既算値。APIは自分で割る,N,N
Keepa product,product,csv[3] 履歴,売れ筋ランキング: 過去30日間の減少,×今回使わない,P3,無,低,中,A_Keepa,履歴から差分。statsだけだと無し csv[]は倉庫非保存。,N,N
Keepa product,product,csv[3] 履歴,売れ筋ランキング: 過去90日間の減少,×今回使わない,P3,無,低,中,A_Keepa,csv[]は倉庫非保存。,N,N
Keepa product,product,csv[3] 履歴,売れ筋ランキング: 過去180日間の減少,×今回使わない,P3,無,低,中,A_Keepa,csv[]は倉庫非保存。,N,N
Keepa product,product,csv[3] 履歴,売れ筋ランキング: 過去365日間の減少,×今回使わない,P3,無,低,中,A_Keepa,csv[]は倉庫非保存。,N,N
Keepa product,product,monthlySold,月間売上トレンド: 先月の購入,◎使えそう,P0,中,低,中,A_Keepa,無いASINもある,Y,Y
Keepa product,product,csv[16] 直近 /10 または rating,レビュー: 評価,◎使えそう,P0,中,低,中,A_Keepa,43→4.3,N,Y
Keepa product,product,csv[17] / reviewCount,レビュー: 評価件数,◎使えそう,P0,中,低,中,A_Keepa,,N,Y
Keepa product,product,stats.avg30[18],Buy Box: 30 日平均,◎使えそう,P0,中,高,中,A_Keepa,BUY_BOX_SHIPPING,N,Y
Keepa product,product,stats.avg90[18],Buy Box: 90 日平均,◎使えそう,P0,中,高,中,A_Keepa,,N,Y
Keepa product,product,stats平均の比,Buy Box: 90日間の下落 %,△後続,P2,無,高,中,A_Keepa,,N,N
Keepa product,product,offers[].sellerName (isBuyBox),Buy Box: Buy Box セラー,◎使えそう,P0,中,高,中,A_Keepa,offers=20 が必要。名前はCSV専用に近い,N,Y
Keepa product,product,offers[].isFBA (isBuyBox),Buy Box: FBAです,◎使えそう,P0,中,高,中,A_Keepa,,N,Y
Keepa product,product,stats.current[0] / csv[0],Amazon: 現在価格,◎使えそう,P0,中,高,中,A_Keepa,空＝本体なし,N,Y
Keepa product,product,stats.avg90[0],Amazon: 90 日平均,◎使えそう,P0,中,低,中,A_Keepa,,N,Y
Keepa product,product,stats.avg365[0],Amazon: 365 日平均,○補助,P1,無,低,中,A_Keepa,,N,N
Keepa product,product,平均の比,Amazon: 90日間の下落 %,△後続,P2,無,低,中,A_Keepa,,N,N
Keepa product,product,amazonオファー stock,Amazon: 在庫,△後続,P2,無,低,中,A_Keepa,2品番CSVも空。APIも薄い,N,N
Keepa product,product,stats.outOfStockPercentage90[0],Amazon: 90日間在庫切れ,○補助,P1,無,低,中,A_Keepa,100 と 100% の表記差,N,N
Keepa product,product,csv[0] の -1 連続,Amazon: 在庫切れカウント 30 日間,×今回使わない,P3,無,低,中,A_Keepa,既算値はCSV寄り csv[]は倉庫非保存。,N,N
Keepa product,product,csv[0] 履歴,Amazon: 在庫切れカウント 90 日間,×今回使わない,P3,無,低,中,A_Keepa,門の「6ヶ月ほぼ不在」は履歴で可 csv[]は倉庫非保存。,N,N
Keepa product,product,stats.avg90[1],新品: 90 日平均,◎使えそう,P0,中,低,中,A_Keepa,円の整数,N,Y
Keepa product,product,stats.avg365[1],新品: 365 日平均,○補助,P1,無,低,中,A_Keepa,,N,N
Keepa product,product,平均の比,新品: 90日間の下落 %,△後続,P2,無,低,中,A_Keepa,,N,N
Keepa product,product,stats.avg90[10],新しい、第三者FBA: 90 日平均,○補助,P1,無,低,中,A_Keepa,NEW_FBA,N,N
