api,scope,field,name_ja,agent_pick,priority,effect_setcount,effect_price,effect_human,flow_tags,note,in_logical_crosswalk
楽天IchibaSearch,検索全体,count,ヒット総数,○補助,P1,低,低,低,"A_Keepa,B_Step2",0件判定,Y
楽天IchibaSearch,検索全体,page,ページ番号,×今回使わない,P3,無,無,無,,,Y
楽天IchibaSearch,検索全体,first,先頭位置,×今回使わない,P3,無,無,無,,,N
楽天IchibaSearch,検索全体,last,末尾位置,×今回使わない,P3,無,無,無,,,N
楽天IchibaSearch,検索全体,hits,返却件数,○補助,P1,低,低,低,A_Keepa,キャッシュヘッダ,Y
楽天IchibaSearch,検索全体,carrier,PC/スマホ,×今回使わない,P3,無,無,無,,入力で変わる,N
楽天IchibaSearch,検索全体,pageCount,総ページ,×今回使わない,P3,無,無,無,,,N
楽天IchibaSearch,商品,itemName,商品名,◎使えそう,P0,高,中,高,"A_Keepa,B_Step2,CPO,除外フィルタ",袋数の主ソース,Y
楽天IchibaSearch,商品,catchcopy,キャッチ,○補助,P1,中,低,中,"A_Keepa,B_Step2",名前と結合推奨（公式）,Y
楽天IchibaSearch,商品,itemCode,商品コード,○補助,P1,低,低,低,"A_Keepa,B_Step2",キャッシュ安定ID,Y
楽天IchibaSearch,商品,itemPrice,価格,◎使えそう,P0,高,高,高,"A_Keepa,B_Step2,CPO",表示価格,Y
楽天IchibaSearch,商品,itemCaption,説明文,○補助,P1,中,低,中,A_Keepa,袋数がタイトルに無いとき,Y
楽天IchibaSearch,商品,itemUrl,商品URL,○補助,P1,低,低,高,"A_Keepa,B_Step2,CPO",人間確認,Y
楽天IchibaSearch,商品,itemPriceBaseField,価格フィールド種別,×今回使わない,P3,無,無,無,,min1/2/3のどれか,N
楽天IchibaSearch,商品,itemPriceMax1,価格max全体,△後続,P2,低,中,低,B_Step2,選択式の幅,N
楽天IchibaSearch,商品,itemPriceMax2,価格max検索可,△後続,P2,低,中,低,B_Step2,,N
楽天IchibaSearch,商品,itemPriceMax3,価格max購入可,△後続,P2,低,中,低,B_Step2,選択SKUの上限,N
楽天IchibaSearch,商品,itemPriceMin1,価格min全体,△後続,P2,低,中,低,"B_Step2,除外フィルタ",500円選択の検知,N
楽天IchibaSearch,商品,itemPriceMin2,価格min検索可,△後続,P2,低,中,低,B_Step2,,N
楽天IchibaSearch,商品,itemPriceMin3,価格min購入可,○補助,P1,中,中,中,"A_Keepa,B_Step2,除外フィルタ",選択式の下限,N
楽天IchibaSearch,商品,affiliateUrl,アフィリエイトURL,×今回使わない,P3,無,無,無,,affiliateId時のみ,N
楽天IchibaSearch,商品,imageFlag,画像有無,○補助,P1,低,低,低,A_Keepa,Vision対象の選別,N
楽天IchibaSearch,商品,smallImageUrls,画像64px×最大3,○補助,P1,中,低,中,"A_Keepa,B_Step2",medium優先,Y
楽天IchibaSearch,商品,mediumImageUrls,画像128px×最大3,◎使えそう,P0,高,低,高,"A_Keepa,B_Step2",袋数Vision,Y
楽天IchibaSearch,商品,availability,在庫フラグ,○補助,P1,中,低,低,"A_Keepa,B_Step2,除外フィルタ",0欠品1あり,Y
楽天IchibaSearch,商品,taxFlag,税フラグ,○補助,P1,低,中,低,"B_Step2,CPO",0込1別。実質の補正,N
楽天IchibaSearch,商品,postageFlag,送料フラグ,◎使えそう,P0,中,高,中,"A_Keepa,B_Step2,CPO,除外フィルタ",0込1別。円は無い,Y
楽天IchibaSearch,商品,creditCardFlag,クレカ,×今回使わない,P3,無,無,無,,,N
楽天IchibaSearch,商品,shopOfTheYearFlag,SOTY,×今回使わない,P3,無,無,無,,,N
楽天IchibaSearch,商品,shipOverseasFlag,海外発送,×今回使わない,P3,無,無,無,,,N
楽天IchibaSearch,商品,shipOverseasArea,海外エリア,×今回使わない,P3,無,無,無,,,N
楽天IchibaSearch,商品,asurakuFlag,あす楽,×今回使わない,P3,無,無,無,,2024-07以降0固定,Y
楽天IchibaSearch,商品,asurakuClosingTime,あす楽締切,×今回使わない,P3,無,無,無,,,N
楽天IchibaSearch,商品,asurakuArea,あす楽地域,×今回使わない,P3,無,無,無,,,N
楽天IchibaSearch,商品,affiliateRate,アフィリエイト料率,×今回使わない,P3,無,無,無,,,N
楽天IchibaSearch,商品,startTime,セール開始,△後続,P2,低,中,低,CPO,期間限定価格の信頼度,N
楽天IchibaSearch,商品,endTime,セール終了,△後続,P2,低,中,低,CPO,,N
楽天IchibaSearch,商品,reviewCount,レビュー件数,○補助,P1,中,低,中,"A_Keepa,B_Step2,B_Step76",投票の重み,Y
楽天IchibaSearch,商品,reviewAverage,レビュー平均,△後続,P2,低,低,低,"B_Step2,除外フィルタ",,Y
楽天IchibaSearch,商品,pointRate,ポイント倍率,◎使えそう,P0,中,高,中,"A_Keepa,B_Step2,CPO",実質価格。24h以内終了は非表示,Y
楽天IchibaSearch,商品,pointRateStartTime,ポイント開始,○補助,P1,低,高,低,"A_Keepa,CPO",キャンペーン信頼性,Y
楽天IchibaSearch,商品,pointRateEndTime,ポイント終了,○補助,P1,低,高,低,"A_Keepa,CPO",,N
楽天IchibaSearch,商品,giftFlag,ギフト包装,×今回使わない,P3,無,無,無,,,N
楽天IchibaSearch,商品,genreId,ジャンルID,△後続,P2,低,低,低,B_Step76,Keepaカテゴリと非互換,Y
楽天IchibaSearch,商品,attributeIds,属性ID配列,△後続,P2,低,低,低,B_Step76,attributeFlag=1かつgenreId必須,N
楽天IchibaSearch,店舗,shopName,店舗名,◎使えそう,P0,中,低,中,"A_Keepa,B_Step2,除外フィルタ",ふるさと納税店の除外,Y
楽天IchibaSearch,店舗,shopCode,店舗コード,○補助,P1,低,低,低,除外フィルタ,除外リスト用,Y
楽天IchibaSearch,店舗,shopUrl,店舗URL,○補助,P1,低,低,低,除外フィルタ,,Y
楽天IchibaSearch,店舗,shopAffiliateUrl,店舗アフィリURL,×今回使わない,P3,無,無,無,,,N
楽天IchibaSearch,オプション,GenreInformation.ancestors,親ジャンル,△後続,P2,低,低,低,B_Step76,genreInformationFlag=1,N
楽天IchibaSearch,オプション,GenreInformation.genre,指定ジャンル,△後続,P2,低,低,低,B_Step76,,N
楽天IchibaSearch,オプション,GenreInformation.children,子ジャンル,△後続,P2,低,低,低,B_Step76,,N
楽天IchibaSearch,オプション,attributes[],属性名・ID,△後続,P2,低,低,低,B_Step76,ジャンル必須。内容量属性の可能性,N
