"画像","商品名","商品ハイライト","売れ筋ランキング: 90 日平均","売れ筋ランキング: 365 日平均","売れ筋ランキング: 90日間の下落 %","売れ筋ランキング: 過去30日間の減少","売れ筋ランキング: 過去90日間の減少","売れ筋ランキング: 過去180日間の減少","売れ筋ランキング: 過去365日間の減少","月間売上トレンド: 先月の購入","レビュー: 評価","レビュー: 評価件数","Buy Box: 30 日平均","Buy Box: 90 日平均","Buy Box: 90日間の下落 %","Buy Box: Buy Box セラー","Buy Box: FBAです","Amazon: 現在価格","Amazon: 90 日平均","Amazon: 365 日平均","Amazon: 90日間の下落 %","Amazon: 在庫","Amazon: 90日間在庫切れ","Amazon: 在庫切れカウント 30 日間","Amazon: 在庫切れカウント 90 日間","新品: 90 日平均","新品: 365 日平均","新品: 90日間の下落 %","新しい、第三者FBA: 90 日平均","新しい、第三者FBA: 365 日平均","新しい、第三者FBA: 90日間の下落 %","最安の FBA セラー","新品 第三者 FBM: 90 日平均","新品 第三者 FBM: 365 日平均","新品 第三者 FBM: 90日間の下落 %","最安の FBM セラー","参考価格: 90 日平均","参考価格: 365 日平均","参考価格: 90日間の下落 %","新品アイテム数: 90 日平均","新品アイテム数: 365 日平均","新品アイテム数: 90日間の下落 %","URL: Amazon","URL: Keepa","カテゴリ: ルート","カテゴリ: サブ","カテゴリ: ツリー","ASIN","商品コード: EAN","製造者","ブランド","単位の詳細: 単位の価値","アイテム数","発売日","パッケージ: 長さ (cm)","パッケージ: 幅 (cm)","パッケージ: 高さ (cm)","パッケージ: 重さ (g)","パッケージ: 数量","商品: 長さ (cm)","商品: 幅 (cm)","商品: 高さ (cm)","商品: 重さ (g)","Buy Box: 定期おトク便","ワンタイムクーポン: 定期おトク便 %","ビジネス割引: パーセンテージ","Buy Box: % Amazon 30 日","Buy Box: % Amazon 90 日","Buy Box: % Amazon 180 日","Buy Box: % Amazon 365 日","Buy Box: % トップセラー 30 日","Buy Box: % トップセラー 90 日","Buy Box: % トップセラー 180 日","Buy Box: % トップセラー 365 日","Buy Box: 勝者数 30 日","Buy Box: 勝者数 90 日","Buy Box: 勝者数 180 日","Buy Box: 勝者数 365 日","Buy Box: 標準偏差 30 日","Buy Box: 標準偏差 90 日","Buy Box: 標準偏差 365 日","Buy Box: 変動性 30 日","Buy Box: 変動性 90 日","Buy Box: 変動性 365 日"
"https://m.media-amazon.com/images/I/71VmheUcVFL.jpg;https://m.media-amazon.com/images/I/61Ep4KZNwRL.jpg;https://m.media-amazon.com/images/I/61NS+4ET9TL.jpg;https://m.media-amazon.com/images/I/61OQhqzn8gL.jpg;https://m.media-amazon.com/images/I/61D96Kr11DL.jpg;https://m.media-amazon.com/images/I/61+1UYm9spL.jpg","五木食品 スープ付うどん 210g×6袋(電子レンジ調理可能)(常温保存商品)","","5867","8970","18 %","29","92","185","358","400","4","696","804","767","33 %","Amazon","yes","511","767","778","33 %","5","0 %","0","0","759","797","33 %","516","675","","-","1,006","1,083","7 %","ワールドファクトリー (89%) / A2WGUAQ33DDVJ3","738","757","0 %","8","6","63 %","https://www.amazon.co.jp/dp/B00CY5M714","https://keepa.com/#!product/5-B00CY5M714","食品・飲料・お酒","うどん","食品・飲料・お酒 › 麺類・パスタ › うどん","B00CY5M714","4901726005125","五木食品","五木食品","6","6","","26.5","15","5","1300","6","","","","210","no","","","99 %","100 %","100 %","91 %","99 %","100 %","100 %","91 %","2","2","2","4","89","66","66","57","42","21"
"https://m.media-amazon.com/images/I/71o3sG4LapL.jpg;https://m.media-amazon.com/images/I/611Pqr1y-5L.jpg;https://m.media-amazon.com/images/I/61utDCmNKFL.jpg;https://m.media-amazon.com/images/I/612j9dt4IPL.jpg","五木食品 中華細麺 280g×5個","","7513","8647","46 %","20","83","172","486","200","4.1","577","1,201","1,220","21 %","Amazon","yes","967","1,220","1,243","21 %","11","0 %","0","0","1,215","1,231","20 %","","1,263","","-","1,245","1,249","0 %","プレミアコンタクト_インボイス対応 (59%) / A1R6WV6NFQNZUO; ワールドファクトリー (89%) / A2WGUAQ33DDVJ3","1,200","1,216","0 %","6","5","50 %","https://www.amazon.co.jp/dp/B00XKNPPD6","https://keepa.com/#!product/5-B00XKNPPD6","食品・飲料・お酒","ラーメン","食品・飲料・お酒 › 麺類・パスタ › ラーメン","B00XKNPPD6","4901726013120","五木食品","五木食品","5","5","","23.1","10.8","8.5","1450","5","26.6","13.1","8.9","280","yes","","","98 %","97 %","95 %","92 %","98 %","97 %","95 %","92 %","3","5","7","8","48","37","45","4","4","62"
"https://m.media-amazon.com/images/I/81qAAWIWoIL.jpg;https://m.media-amazon.com/images/I/81GmwkNIWPL.jpg","五木食品 鍋焼えび天うどん 220g×9個(常温保存商品)(生タイプ即席麵)","","11326","11218","2 %","12","34","178","385","","4","62","2,199","2,354","2 %","Amazon","yes","2,315","2,354","2,170","2 %","16","0 %","0","0","2,354","2,154","2 %","","2,405","","-","","2,098","","-","2,556","2,556","0 %","1","1","0 %","https://www.amazon.co.jp/dp/B09WMMPXS6?psc=1","https://keepa.com/#!product/5-B09WMMPXS6","食品・飲料・お酒","うどん","食品・飲料・お酒 › 麺類・パスタ › うどん","B09WMMPXS6","2203250000334","五木食品","五木食品","9","9","2022-04-01","45","31.5","18","2310","9","","","","220","no","","","100 %","100 %","96 %","84 %","100 %","100 %","96 %","84 %","1","1","2","2","103","234","354","36","7","32"
"https://m.media-amazon.com/images/I/81RLhFIuRyL.jpg;https://m.media-amazon.com/images/I/81GmwkNIWPL.jpg;https://m.media-amazon.com/images/I/81WNnv6cSnL.jpg;https://m.media-amazon.com/images/I/81F7Jdf+XPL.jpg;https://m.media-amazon.com/images/I/81Ly6c4EgnL.jpg","五木食品 鍋焼うどん4種×各3個食べ比べセット(えび天/きつね/カレー/すき焼風 各種3個 計12個)(セット商品)(常温保存商品)","","11339","11156","2 %","8","39","160","296","","3.8","69","","3,542","","-","no","","3,542","3,534","","","96 %","1","3","3,542","3,087","","","3,980","","-","","2,728","","-","3,408","3,547","0 %","1","3","","https://www.amazon.co.jp/dp/B09CP5H4NJ?psc=1","https://keepa.com/#!product/5-B09CP5H4NJ","食品・飲料・お酒","うどん","食品・飲料・お酒 › 麺類・パスタ › うどん","B09CP5H4NJ","2108160000095","五木食品","五木食品","12","12","2021-08-16","55","38","18","3480","12","","","","3480","no","","","0 %","5 %","25 %","25 %","0 %","5 %","25 %","25 %","0","1","6","7","-","-","456","5","5","35"
"https://m.media-amazon.com/images/I/81GmwkNIWPL.jpg;https://m.media-amazon.com/images/I/51NVmzQEyYL.jpg","五木食品 鍋焼えび天うどん 220g×18個 (アルミ鍋うどん)(常温保存商品)","","11348","11105","3 %","10","40","134","327","100","4.6","68","2,909","2,915","0 %","Amazon","yes","2,909","2,915","3,053","0 %","5","0 %","0","0","2,915","3,043","0 %","","2,883","","-","","3,269","","-","5,112","5,112","0 %","1","1","0 %","https://www.amazon.co.jp/dp/B0CDLK51VH?psc=1","https://keepa.com/#!product/5-B0CDLK51VH","食品・飲料・お酒","うどん","食品・飲料・お酒 › 麺類・パスタ › うどん","B0CDLK51VH","4901726009550","五木食品","五木食品","18","18","2023-09-08","55","37","14","5220","18","","","","220","yes","","","100 %","100 %","95 %","85 %","100 %","100 %","95 %","85 %","1","1","3","4","-","20","322","4","4","17"
"https://m.media-amazon.com/images/I/81N55QTSx0L.jpg;https://m.media-amazon.com/images/I/81WNnv6cSnL.jpg","五木食品 鍋焼きつねうどん 210g×9個(常温保存商品)(生タイプ即席麵)","","11411","11145","3 %","9","36","148","310","","4.1","62","","2,030","","-","no","","2,215","2,108","","","65 %","1","1","1,777","1,949","","1,649","1,758","","-","1,980","1,657","","-","2,556","2,645","0 %","2","2","","https://www.amazon.co.jp/dp/B09WMNQX6S?psc=1","https://keepa.com/#!product/5-B09WMNQX6S","食品・飲料・お酒","うどん","食品・飲料・お酒 › 麺類・パスタ › うどん","B09WMNQX6S","2203250000341","五木食品","五木食品","9","9","2022-04-01","39.5","37.8","15.9","2230","9","","","","210","no","","","0 %","21 %","25 %","50 %","0 %","21 %","44 %","50 %","0","2","2","2","-","345","439","5","47","61"
"https://m.media-amazon.com/images/I/71BPtKeZDrL.jpg;https://m.media-amazon.com/images/I/61TwluLzYCL.jpg;https://m.media-amazon.com/images/I/61l7WniJirL.jpg;https://m.media-amazon.com/images/I/71exssPNCQL.jpg","五木食品 五木庵カレーうどん 225g ×10個(電子レンジ調理可能)(常温保存商品)","","12486","11627","21 %","11","55","131","329","100","4.2","456","1,782","1,662","17 %","Amazon","yes","1,382","1,661","1,685","17 %","11","0 %","0","0","1,659","1,690","17 %","1,285","1,283","","-","1,890","2,333","0 %","プレミアコンタクト_インボイス対応 (59%) / A1R6WV6NFQNZUO; ワールドファクトリー (89%) / A2WGUAQ33DDVJ3","1,760","1,827","0 %","7","6","43 %","https://www.amazon.co.jp/dp/B08D9SWVPV","https://keepa.com/#!product/5-B08D9SWVPV","食品・飲料・お酒","うどん","食品・飲料・お酒 › 麺類・パスタ › うどん","B08D9SWVPV","4901726015087","五木食品","五木食品","10","10","2020-08-17","29.2","26.5","9.4","2401","10","","","","2250","yes","","","100 %","100 %","96 %","91 %","100 %","100 %","96 %","91 %","1","2","3","5","162","185","185","4","54","39"
"https://m.media-amazon.com/images/I/71eYpuCd3QL.jpg;https://m.media-amazon.com/images/I/71fQAqDWjQL.jpg;https://m.media-amazon.com/images/I/71hCjJF9YCL.jpg;https://m.media-amazon.com/images/I/6108gTsfTPL.jpg;https://m.media-amazon.com/images/I/71xkJF2y3JL.jpg;https://m.media-amazon.com/images/I/71dIm6S6nkL.jpg","五木食品 2食生タイプめん5種×各2個セット(ナポリタン/焼そば/チャンポン/焼うどんしょうゆ/焼うどんソース 各2個 計10個)(常温保存商品)","","12877","14908","31 %","9","20","45","104","","3.9","41","2,819","2,785","-1 %","Amazon","yes","2,819","2,785","2,713","-1 %","1000","0 %","0","0","2,785","2,701","-1 %","","2,126","","-","","","","-","2,610","2,680","0 %","1","1","0 %","https://www.amazon.co.jp/dp/B0B9GC8DTN?psc=1","https://keepa.com/#!product/5-B0B9GC8DTN","食品・飲料・お酒","焼きそば","食品・飲料・お酒 › 麺類・パスタ › 焼きそば","B0B9GC8DTN","2207280000272","五木食品","五木食品","10","10","2022-09-01","44.9","32.1","18.2","4190","10","","","","","yes","","","100 %","100 %","100 %","99 %","100 %","100 %","100 %","99 %","1","1","1","2","-","91","180","4","4","26"
"https://m.media-amazon.com/images/I/71i8fiGY1QL.jpg;https://m.media-amazon.com/images/I/71t+JtqodEL.jpg;https://m.media-amazon.com/images/I/61jtvMVhBuL.jpg;https://m.media-amazon.com/images/I/61EkZjHSq3L.jpg;https://m.media-amazon.com/images/I/61SUECB3BBL.jpg","五木食品 2コチャンポン 320g×6個(常温保存商品)(生タイプ即席麵)","","12934","14934","32 %","12","29","70","129","","4","404","1,547","1,553","-4 %","Amazon","yes","1,612","1,553","1,568","-4 %","1000","0 %","0","0","1,553","1,567","-4 %","","1,533","","-","","","","-","1,566","1,615","0 %","1","1","0 %","https://www.amazon.co.jp/dp/B007JQD302?psc=1","https://keepa.com/#!product/5-B007JQD302","食品・飲料・お酒","ラーメン","食品・飲料・お酒 › 麺類・パスタ › ラーメン","B007JQD302","4901726005521","五木食品","五木食品","6","6","","28.9","20.6","12.3","2110","6","","","","150","yes","","","100 %","100 %","100 %","92 %","100 %","100 %","100 %","92 %","1","1","1","1","26","34","64","4","4","11"
"https://m.media-amazon.com/images/I/71JBsXZH5GL.jpg;https://m.media-amazon.com/images/I/71soGzVNYNL.jpg;https://m.media-amazon.com/images/I/7105n4f7xXL.jpg;https://m.media-amazon.com/images/I/71IuBkrSisL.jpg","五木食品 2コ生タイプめん 3種×各3個セット (ナポリタン/焼そば/ちゃんぽん 計9個)(セット商品)(常温保存商品)","","12946","15009","31 %","8","19","57","138","","3.9","41","2,367","2,490","-2 %","Amazon","yes","2,537","2,490","2,486","-2 %","","9 %","1","1","2,489","2,480","-2 %","1,547","2,523","","-","","","","-","2,349","2,412","0 %","1","1","0 %","https://www.amazon.co.jp/dp/B084MYZWXJ?psc=1","https://keepa.com/#!product/5-B084MYZWXJ","食品・飲料・お酒","焼きそば","食品・飲料・お酒 › 麺類・パスタ › 焼きそば","B084MYZWXJ","2001240000186","五木食品","五木食品","1","9","","26.2","22.2","17","3360","1","","","","318","no","","","74 %","91 %","96 %","89 %","74 %","91 %","96 %","89 %","1","1","1","1","139","104","94","9","7","13"
