mall,case_id,jan,maker,ai_name,query_id,query_label,query_text,api_param,hit_rank,hit_name,hit_price,hit_url,postage_or_ship,error,hit_count
rakuten,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,A,現行JAN,4906283045119,keyword,0,,,,,"HTTP 403 {
  ""errors"": {
    ""errorCode"": 403,
    ""errorMessage"": ""REQUEST_CONTEXT_BODY_HTTP_REFERRER_MISSING""
  }
}",0
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,A,現行JAN,4906283045119,jan_code,1,石原水産 焼津石原水産 食べるおだし 鰹旨みを凝縮 50g×4袋 DASI-4,2080,https://store.shopping.yahoo.co.jp/gfe-store/22-1148.html,2,,10
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,A,現行JAN,4906283045119,jan_code,2,食べるおだし かつお 2個セット たべるお出汁 石原水産 無添加 出汁 鰹 おつまみ おかず 話題 人気 ご飯のお供 冷ややっこ かつお節 鰹節 とまらない リピート,1000,https://store.shopping.yahoo.co.jp/ryousou-ya/4174-20085.html,2,,10
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,A,現行JAN,4906283045119,jan_code,3,石原水産 食べるおだし 2種セット ［まぐろ:かつお 各1袋］ お試し 食べ比べ 味付き 削り節 そのまま食べる おつまみ 「食べるおだし2種セット」 JC 爆買,1185,https://store.shopping.yahoo.co.jp/gyu-kokodake/taberuodashi-assort2.html,2,,10
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,A,現行JAN,4906283045119,jan_code,4,石原水産 食べるおだし かつお 国産 なまりぶし削り 50g  2袋セット 高たんぱく おつまみ ギフト,1160,https://store.shopping.yahoo.co.jp/sakanobross/fod-ishs-tbrk-50g-2s.html,2,,10
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,A,現行JAN,4906283045119,jan_code,5,食べるおだし かつお 3個セット たべるお出汁 石原水産 無添加 出汁 鰹 おつまみ おかず 話題 人気 ご飯のお供 冷ややっこ かつお節 鰹節 とまらない リピート,1580,https://store.shopping.yahoo.co.jp/ryousou-ya/4174-20086.html,2,,10
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,A,現行JAN,4906283045119,jan_code,6,石原水産 焼津石原水産 食べるおだし 鰹旨みを凝縮 50g×2袋,1180,https://store.shopping.yahoo.co.jp/gfe-store/22-1134.html,2,,10
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,A,現行JAN,4906283045119,jan_code,7,石原水産 食べるおだし 2種セット×2 ［まぐろ:かつお 各2袋］  食べ比べ 味付き 削り節 そのまま食べる おつまみ 「食べるおだし2種セット×2」 JC 爆買,2098,https://store.shopping.yahoo.co.jp/gyu-kokodake/taberuodashi-assort4.html,2,,10
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,A,現行JAN,4906283045119,jan_code,8,食べるおだし かつお 50g たべるお出汁 石原水産 無添加 出汁 鰹 おつまみ おかず 話題 人気 ご飯のお供 冷ややっこ サラダ かつお節 鰹節 とまらない リピート,689,https://store.shopping.yahoo.co.jp/ryousou-ya/4174-20084.html,2,,10
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,A,現行JAN,4906283045119,jan_code,9,食べるおだし かつお削り節 50g 石原水産,518,https://store.shopping.yahoo.co.jp/yasui-shouten/4906283045119.html,1,,10
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,A,現行JAN,4906283045119,jan_code,10,食べるおだし かつお 50g 6袋セット 石原水産 削り節 スライス 鰹節 国産かつお使用 だし香る醤油仕立て 焼津産,2640,https://store.shopping.yahoo.co.jp/vape-land/jm251119-1818.html,2,,10
rakuten,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,B,JANをキーワード,4906283045119,keyword,0,,,,,"HTTP 403 {
  ""errors"": {
    ""errorCode"": 403,
    ""errorMessage"": ""REQUEST_CONTEXT_BODY_HTTP_REFERRER_MISSING""
  }
}",0
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,B,JANをキーワード,4906283045119,query,1,石原水産 焼津石原水産 食べるおだし 鰹旨みを凝縮 50g×4袋 DASI-4,2080,https://store.shopping.yahoo.co.jp/gfe-store/22-1148.html,2,,10
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,B,JANをキーワード,4906283045119,query,2,食べるおだし かつお 石原水産 鰹 だし 美味しい おつまみ（50g×10袋セット） 爆買,5150,https://store.shopping.yahoo.co.jp/yukino-sizuku/m-n-b08w58bfyk-10.html,2,,10
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,B,JANをキーワード,4906283045119,query,3,食べるおだし かつお 2個セット たべるお出汁 石原水産 無添加 出汁 鰹 おつまみ おかず 話題 人気 ご飯のお供 冷ややっこ かつお節 鰹節 とまらない リピート,1000,https://store.shopping.yahoo.co.jp/ryousou-ya/4174-20085.html,2,,10
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,B,JANをキーワード,4906283045119,query,4,石原水産 食べるおだし 50g 10個,4590,https://store.shopping.yahoo.co.jp/beisia/4906283045119-10.html,2,,10
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,B,JANをキーワード,4906283045119,query,5,石原水産 食べるおだし 2種セット×2 ［まぐろ:かつお 各2袋］  食べ比べ 味付き 削り節 そのまま食べる おつまみ 「食べるおだし2種セット×2」 JC 爆買,2098,https://store.shopping.yahoo.co.jp/gyu-kokodake/taberuodashi-assort4.html,2,,10
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,B,JANをキーワード,4906283045119,query,6,石原水産 焼津石原水産 食べるおだし 鰹旨みを凝縮 50g×2袋,1180,https://store.shopping.yahoo.co.jp/gfe-store/22-1134.html,2,,10
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,B,JANをキーワード,4906283045119,query,7,石原水産 食べるおだし 2種セット ［まぐろ:かつお 各1袋］ お試し 食べ比べ 味付き 削り節 そのまま食べる おつまみ 「食べるおだし2種セット」 JC 爆買,1185,https://store.shopping.yahoo.co.jp/gyu-kokodake/taberuodashi-assort2.html,2,,10
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,B,JANをキーワード,4906283045119,query,8,食べるおだし かつお 3個セット たべるお出汁 石原水産 無添加 出汁 鰹 おつまみ おかず 話題 人気 ご飯のお供 冷ややっこ かつお節 鰹節 とまらない リピート,1580,https://store.shopping.yahoo.co.jp/ryousou-ya/4174-20086.html,2,,10
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,B,JANをキーワード,4906283045119,query,9,食べるおだし かつお 50g×3袋＋まぐろ 35g×3袋 計6袋セット 石原水産 削り節 スライス 鰹節 味付なまりぶし削り 出汁 和食,2640,https://store.shopping.yahoo.co.jp/vape-land/jm251120-1818.html,2,,10
yahoo,katsuobushi,4906283045119,石原水産,食べるおだし（かつお）50ｇ,B,JANをキーワード,4906283045119,query,10,食べるおだし かつお 50g たべるお出汁 石原水産 無添加 出汁 鰹 おつまみ おかず 話題 人気 ご飯のお供 冷ややっこ サラダ かつお節 鰹節 とまらない リピート,689,https://store.shopping.yahoo.co.jp/ryousou-ya/4174-20084.html,2,,10
