asin,csv_column,csv_value,api_value,verdict
B0FQB34W4B,画像,https://m.media-amazon.com/images/I/81gWMhXQvQL.jpg;https://m.media-amazon.com/images/I/71k3UwrRz4L.jpg;https://m.media-amazon.com/images/I/71glgfzWAPL.jpg;https://m.media-amazon.com/images/I/71HjbCQ8,,不一致
B0FQB34W4B,商品名,カルシウムもとれる万能だし 無添加 粉末 出汁 国産 カツオ節 いわし節 昆布 椎茸 アゴ 管理栄養士監修 100g パック 食塩不使用 国内製造 かけるだけ,カルシウムもとれる万能だし 無添加 粉末 出汁 国産 カツオ節 いわし節 昆布 椎茸 アゴ 管理栄養士監修 100g パック 食塩不使用 国内製造 かけるだけ,一致
B0FQB34W4B,商品ハイライト,,,両方空
B0FQB34W4B,売れ筋ランキング: 90 日平均,12286,12294,ほぼ一致（取得時刻差）
B0FQB34W4B,売れ筋ランキング: 365 日平均,11112,11118,ほぼ一致（取得時刻差）
B0FQB34W4B,売れ筋ランキング: 90日間の下落 %,-9 %,-23 %,不一致
B0FQB34W4B,売れ筋ランキング: 過去30日間の減少,14,14,一致
B0FQB34W4B,売れ筋ランキング: 過去90日間の減少,50,50,一致
B0FQB34W4B,売れ筋ランキング: 過去180日間の減少,191,191,一致
B0FQB34W4B,売れ筋ランキング: 過去365日間の減少,292,291,不一致
B0FQB34W4B,月間売上トレンド: 先月の購入,50,50,一致
B0FQB34W4B,レビュー: 評価,4.3,4.3,一致
B0FQB34W4B,レビュー: 評価件数,67,67,一致
B0FQB34W4B,Buy Box: 30 日平均,1890,1890,一致
B0FQB34W4B,Buy Box: 90 日平均,1875,1875,一致
B0FQB34W4B,Buy Box: 90日間の下落 %,-1 %,-1 %,一致
B0FQB34W4B,Buy Box: Buy Box セラー,「食堂あさごはん」nikkori商店 (100%) / A234Y39JA7DLGJ,99% / A234Y39JA7DLGJ,一致（セラーID）
B0FQB34W4B,Buy Box: FBAです,yes,yes,一致
B0FQB34W4B,Amazon: 現在価格,,,両方空
B0FQB34W4B,Amazon: 90 日平均,,,両方空
B0FQB34W4B,Amazon: 365 日平均,,,両方空
B0FQB34W4B,Amazon: 90日間の下落 %,,,両方空
B0FQB34W4B,Amazon: 在庫,,,両方空
B0FQB34W4B,Amazon: 90日間在庫切れ,100 %,100 %,一致
B0FQB34W4B,Amazon: 在庫切れカウント 30 日間,1,1,一致
B0FQB34W4B,Amazon: 在庫切れカウント 90 日間,1,1,一致
B0FQB34W4B,新品: 90 日平均,1875,1875,一致
B0FQB34W4B,新品: 365 日平均,1871,1871,一致
B0FQB34W4B,新品: 90日間の下落 %,-1 %,-1 %,一致
B0FQB34W4B,新しい、第三者FBA: 90 日平均,1875,1875,一致
B0FQB34W4B,新しい、第三者FBA: 365 日平均,1870,1870,一致
B0FQB34W4B,新しい、第三者FBA: 90日間の下落 %,-1 %,-1 %,一致
B0FQB34W4B,最安の FBA セラー,「食堂あさごはん」nikkori商店 (100%) / A234Y39JA7DLGJ,A234Y39JA7DLGJ,一致（セラーID）
B0FQB34W4B,新品 第三者 FBM: 90 日平均,,,両方空
B0FQB34W4B,新品 第三者 FBM: 365 日平均,,,両方空
B0FQB34W4B,新品 第三者 FBM: 90日間の下落 %,,,両方空
B0FQB34W4B,最安の FBM セラー,,,両方空
B0FQB34W4B,参考価格: 90 日平均,1890,1890,一致
B0FQB34W4B,参考価格: 365 日平均,1890,1890,一致
B0FQB34W4B,参考価格: 90日間の下落 %,0 %,0 %,一致
B0FQB34W4B,新品アイテム数: 90 日平均,1,1,一致
B0FQB34W4B,新品アイテム数: 365 日平均,1,0,ほぼ一致（丸め）
B0FQB34W4B,新品アイテム数: 90日間の下落 %,0 %,0 %,一致
B0FQB34W4B,URL: Amazon,https://www.amazon.co.jp/dp/B0FQB34W4B?psc=1,https://www.amazon.co.jp/dp/B0FQB34W4B?psc=1,一致
B0FQB34W4B,URL: Keepa,https://keepa.com/#!product/5-B0FQB34W4B,https://keepa.com/#!product/5-B0FQB34W4B,一致
B0FQB34W4B,カテゴリ: ルート,食品・飲料・お酒,食品・飲料・お酒,一致
B0FQB34W4B,カテゴリ: サブ,和風だし,和風だし,一致
B0FQB34W4B,カテゴリ: ツリー,食品・飲料・お酒 › 調味料・食用油・ドレッシング › 和風だし,食品・飲料・お酒 › 調味料・食用油・ドレッシング › 和風だし,一致
B0FQB34W4B,ASIN,B0FQB34W4B,B0FQB34W4B,一致
B0FQB34W4B,商品コード: EAN,4595557267021,4595557267021,一致
B0FQB34W4B,製造者,食堂あさごはん,食堂あさごはん,一致
B0FQB34W4B,ブランド,食堂あさごはん,食堂あさごはん,一致
B0FQB34W4B,単位の詳細: 単位の価値,100,100,一致
B0FQB34W4B,アイテム数,1,1,一致
B0FQB34W4B,発売日,,7757460,CSV空・APIあり
B0FQB34W4B,パッケージ: 長さ (cm),22.8,22.8,一致
B0FQB34W4B,パッケージ: 幅 (cm),16,16,一致
B0FQB34W4B,パッケージ: 高さ (cm),1.5,1.5,一致
B0FQB34W4B,パッケージ: 重さ (g),120,120,一致
B0FQB34W4B,パッケージ: 数量,,,両方空
B0FQB34W4B,商品: 長さ (cm),23,23,一致
B0FQB34W4B,商品: 幅 (cm),14,14,一致
B0FQB34W4B,商品: 高さ (cm),1.4,1.4,一致
B0FQB34W4B,商品: 重さ (g),100,100,一致
B0FQB34W4B,Buy Box: 定期おトク便,yes,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,ワンタイムクーポン: 定期おトク便 %,5 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,ビジネス割引: パーセンテージ,,,両方空
B0FQB34W4B,Buy Box: % Amazon 30 日,0 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: % Amazon 90 日,0 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: % Amazon 180 日,0 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: % Amazon 365 日,0 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: % トップセラー 30 日,100 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: % トップセラー 90 日,100 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: % トップセラー 180 日,100 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: % トップセラー 365 日,99 %,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: 勝者数 30 日,1,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: 勝者数 90 日,1,,CSVあり・API空（期間統計は未マップまたは画面専用）
B0FQB34W4B,Buy Box: 勝者数 180 日,1,,CSVあり・API空（期間統計は未マップまたは画面専用）
