side,column,api,api_path,export_filled_2asin,note
export,画像,yes,imagesCSV / image,2/2,トークンからURL組み立て
export,商品名,yes,title,2/2,
export,商品ハイライト,yes,features,0/2,配列。空のことが多い
export,売れ筋ランキング: 90 日平均,yes,stats.avg90[3],2/2,stats指定が必要
export,売れ筋ランキング: 365 日平均,yes,stats.avg365[3],2/2,stats=365
export,売れ筋ランキング: 90日間の下落 %,derive,avg90 と現在の比,2/2,CSVの既算値。APIは自分で割る
export,売れ筋ランキング: 過去30日間の減少,derive,csv[3] 履歴,2/2,履歴から差分。statsだけだと無し
export,売れ筋ランキング: 過去90日間の減少,derive,csv[3] 履歴,2/2,
export,売れ筋ランキング: 過去180日間の減少,derive,csv[3] 履歴,2/2,
export,売れ筋ランキング: 過去365日間の減少,derive,csv[3] 履歴,2/2,
export,月間売上トレンド: 先月の購入,yes,monthlySold,1/2,無いASINもある
export,レビュー: 評価,yes,csv[16] 直近 /10 または rating,2/2,43→4.3
export,レビュー: 評価件数,yes,csv[17] / reviewCount,2/2,
export,Buy Box: 30 日平均,yes,stats.avg30[18],2/2,BUY_BOX_SHIPPING
export,Buy Box: 90 日平均,yes,stats.avg90[18],2/2,
export,Buy Box: 90日間の下落 %,derive,stats平均の比,2/2,
export,Buy Box: Buy Box セラー,offers,offers[].sellerName (isBuyBox),2/2,offers=20 が必要。名前はCSV専用に近い
export,Buy Box: FBAです,offers,offers[].isFBA (isBuyBox),2/2,
export,Amazon: 現在価格,yes,stats.current[0] / csv[0],0/2,空＝本体なし
export,Amazon: 90 日平均,yes,stats.avg90[0],0/2,
export,Amazon: 365 日平均,yes,stats.avg365[0],0/2,
export,Amazon: 90日間の下落 %,derive,平均の比,0/2,
export,Amazon: 在庫,hard,amazonオファー stock,0/2,2品番CSVも空。APIも薄い
export,Amazon: 90日間在庫切れ,yes,stats.outOfStockPercentage90[0],2/2,100 と 100% の表記差
export,Amazon: 在庫切れカウント 30 日間,derive,csv[0] の -1 連続,2/2,既算値はCSV寄り
export,Amazon: 在庫切れカウント 90 日間,derive,csv[0] 履歴,2/2,門の「6ヶ月ほぼ不在」は履歴で可
export,新品: 90 日平均,yes,stats.avg90[1],2/2,円の整数
export,新品: 365 日平均,yes,stats.avg365[1],2/2,
export,新品: 90日間の下落 %,derive,平均の比,2/2,
export,新しい、第三者FBA: 90 日平均,yes,stats.avg90[10],2/2,NEW_FBA
export,新しい、第三者FBA: 365 日平均,yes,stats.avg365[10],2/2,
export,新しい、第三者FBA: 90日間の下落 %,derive,平均の比,1/2,
export,最安の FBA セラー,offers,offers isFBA 最安の sellerName,1/2,名前はoffers
export,新品 第三者 FBM: 90 日平均,yes,stats.avg90[7],1/2,NEW_FBM_SHIPPING 送料込
export,新品 第三者 FBM: 365 日平均,yes,stats.avg365[7],1/2,
export,新品 第三者 FBM: 90日間の下落 %,derive,平均の比,1/2,
export,最安の FBM セラー,offers,offers isFBA=false 最安,1/2,
export,参考価格: 90 日平均,yes,stats.avg90[4],2/2,
export,参考価格: 365 日平均,yes,stats.avg365[4],2/2,
export,参考価格: 90日間の下落 %,derive,平均の比,2/2,
export,新品アイテム数: 90 日平均,yes,stats.avg90[11],2/2,COUNT_NEW
export,新品アイテム数: 365 日平均,yes,stats.avg365[11],2/2,
export,新品アイテム数: 90日間の下落 %,derive,平均の比,2/2,
export,URL: Amazon,build,https://www.amazon.co.jp/dp/{asin},2/2,
export,URL: Keepa,build,https://keepa.com/#!product/5-{asin},2/2,
