,No.,FALSE,手動：AI情報を見るには、F列入力後に行コピー値貼付,,,手動,手動,手動,手動,0,0,JAN重複時に手入力,,,,,,sanky,食品・飲料・お酒,0,0,50,自己発送,2026/02/08,1個で1セット,,,,,0,,sank,Foo,,,#NAME?,0,,JAN重複時に手入力,EAN,New,ご覧頂きましてありがとうございます！◆新品・未開封◆配送時、箱に多少のスレ等が発生する場合がございます。◆商品に不具合がある場合はモール規定に従い返品・返金が可能です。◆すり替え防止対策店舗　一部商品は検品して製造番号と検品画像を控えております,,,,,,,,,,,,,,,,,,,,A_GEN_REDUCED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,手動,z,手動,,手動,,0,0,0,,10,手動 0 【0】 手動 0 ,手動手動0 0 0,6.5,,0,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,手動 0 【0】 手動 0 ,0,0.5,0,0.5,0,0.5,0,0,0,0,0,手動,0,0.5,JAN重複時に手入力001,0,0,0,0,0,1,0,0,0,,,,,50,sanky-手動-oya,0,A_GEN_REDUCED,0.08,0,0,0,0,0,0,0,0,0,0,01,1,0,0,0,00000,【全セット】レビューを書いてサンプル1包 or 5％割引クーポンプレゼントキャンペーン実施中,5%クーポン希望、レビューを書く,レビューは書かない,プレゼント希望、レビューを書く,全セット,サンプル1包,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,No.1,FALSE,0  【】 手動  ,,,,,手動,,,,JAN重複時に手入力,,,,2026/01/01,問屋,sanky,食品・飲料・お酒,0,0,50,自己発送,2026/12/01,4個で1セット,,,,,0,JAN重複時に手入力,sank,Foo,賞味期限を入力⇒,,#NAME?,0,,JAN重複時に手入力,EAN,New,ご覧頂きましてありがとうございます！◆新品・未開封◆配送時、箱に多少のスレ等が発生する場合がございます。◆商品に不具合がある場合はモール規定に従い返品・返金が可能です。◆すり替え防止対策店舗　一部商品は検品して製造番号と検品画像を控えております,,,,,,,,,,,,,,,,,,,,A_GEN_REDUCED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,手動,,0,,0,,,,,,7,0  【】 手動  ,,,,0,#NAME?,Nekopos,Nekopos段ボ箱,長さ 332 × 幅 226 × 深さ 24 mm,34,185,食品:1501円以上,10%,0,219,,,,4個で1セット,0,▲219,#DIV/0!,0,,0,0,0,,0,▲219,Rakuten,15%,0,185,,0,0,0,,4個で1セット,0,▲185,#DIV/0!,0,0,0,Rakuten,15%,0,0,,0,0,0,,4個で1セット,0,0,#DIV/0!,0,,,,,,,,,,,,,手動,,,JAN重複時に手入力001,0.00,0.00,0,0.00,0.00,1,0.00,,,0.00,#NAME?,0,送料無料,13,sanky-手動-oya,,A_GEN_REDUCED,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,04,4,0.00,0.00,0.00,,,,,,必須作業：Yahoo!はカテゴリ名で階層を指定する【必須】全角20文字（半角40文字）以内。8階層まで。【例】レディースファッション：レディース：婦人服：Tシャツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,商品名セルへ移動,,,,,,,,↑独自セットは自分で手入力,,,,,,,,,,↑独自セットは自分で手入力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑商品名に含めない場合は消す,,,,,,,,江本商店 五色あられ 200g 業務用 GFC お茶請けにひな祭りに 江本商店の伝統の味,,,,江本商店 五色あられ 200g 業務用 GFC 湿気知らずの小容量パックぶぶあられ キャラ弁 飾り 弁当 ひな祭り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,毎日たっぷり飲めるお徳用48杯分！蒸し生姜の力で体の芯からポカポカ。温め成分を強化した、とろり濃厚な生姜湯で、家族みんなの温活習慣をサポートします。,73,毎日たっぷり飲めるお徳用48杯分！蒸し生姜の力で体の芯からポカポカ。温め成分を強化した、とろり濃厚な生姜湯で、家族みんなの温活習慣をサポートします。,73,イトク食品の「蒸し生姜湯」に、待望の大容量48パック入りが登場しました。 最大の特徴は、生姜を蒸して乾燥させることで温め成分「ショウガオール」を通常よりも引き出した「蒸し生姜」を100％使用している点です。本葛を加えることで生まれる絶妙なとろみが、熱を逃さず体の芯までポカポカ感を届けます。 毎日飲みたいけれど、小袋パックではすぐになくなってしまう…というファンの声にお応えしたお徳用サイズ。1杯あたりのコストを抑えつつ、品質はそのまま。保存料、着色料、香料は一切使用していません。 高知県産生姜のピリッとした刺激と、優しい甘さが調和した深い味わいは、寝る前のリラックスタイムや、喉をいたわりたい時、寒い朝のスイッチとしても最適です。家族全員で健康的な温活ライフを始めましょう。,334.5,【お徳用48杯分セット】 毎日欠かさず飲みたい方に最適な大容量パック。1個ずつ買う手間が省け、1杯あたりの価格もリーズナブル。ご家族での利用や、職場でのストック、配りものにも大変便利です。,【蒸し生姜の温めパワー】 生姜を「蒸す」ことで温め成分ショウガオールが大幅に向上。通常の生姜湯以上に、体の芯から熱を作り出し、ポカポカとした持続力を実感いただけます。,【鹿児島県産本葛のこだわり】 贅沢に本葛を配合。お湯を注ぐだけで、滑らかでとろりとした喉越しが楽しめます。とろみが熱を逃さず、最後まで温かいまま美味しくお召し上がりいただけます。,【安心の完全無添加】 保存料、着色料、香料を一切使用していません。高知県産生姜の風味を活かし、お子様からご年配の方まで、毎日安心して続けられる体に優しい品質にこだわりました。,【便利な個包装パウダー】 1杯分ずつの個包装なので、計量の手間がなく、いつでも開けたての香りが楽しめます。お湯を注ぐだけで本格的な生姜湯が完成。持ち運びにも便利です,,,,,,,,,,,,,,,↑親SKU行は子SKUが空欄の必要あり,,,,,,,,,,,,,,,,,,,,,,,,,,,,Productカテゴリーを貼り付け→,食品,結合→,#NAME?,,,,,,,,,,,,,,,ストアクリエイターproに商品データをアップロードする場合は「追加」を指定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SKUセルへ移動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GFC 江本商店 五色あられ 200g ×2袋 業務用 湿気知らずの小容量パック ぶぶあられ キャラ弁 飾り 弁当,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,結合結果を(Yahooカテゴリ名)列の親SKU行に値で貼り付け→,ドリンク、水、お酒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,黄色セルA列～J列を入力してください,黄色セルA列～J列を入力してください,,,,,,,,,,,,,,,,,,,商品管理番号,販売価格,在庫数,商品コード(JANコード等),商品コードのタイプ,商品のコンディション,商品のコンディション説明,対象ASIN,商品名,動作タイプ,セール価格,セール開始日,セール終了日,リードタイム(出荷までにかかる作業日数),商品の公開日,ギフト包装,ギフトメッセージ,フルフィルメントセンターID,使用しない支払い方法,出品者SKUのメイン画像URL,出品者SKUのサブ画像URL1,出品者SKUのサブ画像URL2,出品者SKUのサブ画像URL3,出品者SKUのサブ画像URL4,出品者SKUのサブ画像URL5,配送パターン,商品タックスコード,"""電池の有無""","""電池付属""","""バッテリーセルタイプ""","""電池のタイプ""","""付属バッテリ個数""",電池の重量(グラム),"""リチウムイオン電池単数""","""リチウムメタル電池単数""","""リチウム電池パッケージ""","""リチウム電池エネルギー量""","""リチウム電池重量""",この商品は、危険物に該当しますか？詳細については危険物確認ガイド{X}をご覧ください。1,この商品は、危険物に該当しますか？詳細については危険物確認ガイド{X}をご覧ください。2,この商品は、危険物に該当しますか？詳細については危険物確認ガイド{X}をご覧ください。3,この商品は、危険物に該当しますか？詳細については危険物確認ガイド{X}をご覧ください。4,この商品は、危険物に該当しますか？詳細については危険物確認ガイド{X}をご覧ください。5,国連(UN)番号,安全データシート(SDS) URL,"""商品の重量""","""体積""",引火点(°C),分類／危険物ラベル(適用されるものをすべて選択)1,分類／危険物ラベル(適用されるものをすべて選択)2,分類／危険物ラベル(適用されるものをすべて選択)3,商品の重量の単位,商品の容量の単位,リチウム電池のエネルギー量測定単位,リチウム電池の重量の測定単位,リチウム電池の重量の測定単位,メーカー希望価格,,,,,,,,,,,Yahoo!は75文字制限,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,健康茶,,,,,,,,,,,,,,,,,,,,,,,,,,,/12644827/imgrc0107302719.jpg,/12644827/imgrc0107302720.jpg,/12644827/imgrc0107302721.jpg,/12644827/imgrc0107302722.jpg,/12644827/imgrc0107302723.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,依頼納品日⇒,2023/08/05,,,,,,,,,,,,,,,,,0,,,,,,,,,,購入価格の何倍にするか自動計算,,,,,,sku,price,quantity,product-id,product-id-type,condition-type,condition-note,ASIN-hint,title,operation-type,sale-price,sale-start-date,sale-end-date,leadtime-to-ship,launch-date,is-giftwrap-available,is-gift-message-available,fulfillment-center-id,optional-payment-type-exclusion,main-offer-image,offer-image1,offer-image2,offer-image3,offer-image4,offer-image5,merchant_shipping_group_name,product-tax-code,batteries_required,are_batteries_included,battery_cell_composition,battery_type,number_of_batteries,battery_weight,number_of_lithium_ion_cells,number_of_lithium_metal_cells,lithium_battery_packaging,lithium_battery_energy_content,lithium_battery_weight,supplier_declared_dg_hz_regulation1,supplier_declared_dg_hz_regulation2,supplier_declared_dg_hz_regulation3,supplier_declared_dg_hz_regulation4,supplier_declared_dg_hz_regulation5,hazmat_united_nations_regulatory_id,safety_data_sheet_url,item_weight,item_volume,flash_point,ghs_classification_class1,ghs_classification_class2,ghs_classification_class3,item_weight_unit_of_measure,item_volume_unit_of_measure,lithium_battery_energy_content_unit_of_measure,lithium_battery_weight_unit_of_measure,battery_weight_unit_of_measure,list_price_with_tax,,,,,,,Tasism よくねむ?るマスク アイマスク 『催眠術士が監修！』 耳栓セット ドライアイ対策 立体型 ブラック,,,,,Tasism よくねむ?るマスク アイマスク 『催眠術士が監修！』 耳栓セット ドライアイ対策 立体型 ブラック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,楽天SKU行,,,,,,,,,↓必要に応じて手動で変更（基本5％）,,,,,,,楽天SKU行,,,,,,,,,,,,,,,,6%,,,,,楽天SKU行,,,楽天SKU行,楽天SKU行,楽天SKU行,楽天SKU行,楽天SKU行,楽天SKU行,楽天SKU行,楽天SKU行,,,楽天SKU行,楽天SKU行,楽天SKU行,,楽天SKU行,,,,,楽天SKU行,,,楽天SKU行,楽天SKU行,楽天SKU行,楽天SKU行,楽天SKU行,楽天SKU行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,JAN13桁のみOK（赤は重複）、JANは適当でもOK,親SKUの商品名はデータ転記のためAI取得データシートと同じにする,,,JANが重複する際に使用（楽天）,親SKUのasinはAI取得データシートと同じにする,※スペース禁止（Yahoo!対応していない）,,,,,,,同系統の原価が同じ品番を同じカタログで出す場合は原価を変える,,,,,,,,,120%,,,,,,69行目、185行目から計算式変更,緑色の範囲をコピーして出品テンプレートsheetへ値で貼り付け,,,,,ご覧頂きましてありがとうございます！◆新品・未開封◆配送時、箱に多少のスレ等が発生する場合がございます。◆商品に不具合がある場合はモール規定に従い返品・返金が可能です。◆すり替え防止対策店舗　一部商品は検品して製造番号と検品画像を控えております,ご覧頂きましてありがとうございます！【全国送料無料】◆新品・未開封・メーカー正規品◆その他の非正規品には保証が付きませんのでご注意ください◆Amazon専用在庫のため、各種支払対応・注文確定後すぐに配送されます。◆配送時、箱に多少のスレ等が発生する場合がございます。◆万一商品に不具合がある場合は返品・返金が可能です。開封後はAmazonの規定により半額の返金となりますのでご了承下さい。◆すり替え防止対策店舗,ご覧頂きましてありがとうございます！◆新品・未開封・メーカー正規品◆配送時、箱に多少のスレ等が発生する場合がございます。◆万一商品に不具合がある場合は返品・返金が可能です。開封後はAmazonの規定に準じます。,,,,,,,,,AMAZON_JP,,,,,,,,A_GEN_STANDARD,A_GEN_REDUCED,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[ブランド名]+[商品名]+[商品を示すkw]+[CTR,CVRを上げるコピー]+[その他kw]",,,,80文字までOK,"[ブランド名]+[商品名]+[商品を示すkw]+[CTR,CVRを上げるコピー]+[その他kw]",,,,楽天は合計で32バイトまで,,,,,,,,,,,,送料無料パターン,,,,,,,送料は別途設定パターン,,,,,,,楽天：送料はＡｍａｚｏｎ流用,,,,,楽天は3980円で送料無料となるため送料設定は基本的にしない,,,,,,,,,5%,6%,楽天：送料はＡｍａｚｏｎ流用,,,,,楽天は3980円で送料無料となるため送料設定は基本的にしない,,,,,,,,,,８０文字,,３０文字,,PC用商品説明文400文字推奨,,100文字まで,100文字まで,100文字まで,100文字まで,100文字まで,,160文字まで、できれば150文字まで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,削除したい場合はレ点してYahoo!出品メニューから削除を実行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AIデータ保管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.元,No.,出品CK,依頼日,"Amazon
ページURL","ショップ名
最初に選択して下さい
コピペOK",メーカー名,仕入判断,JANコード,商品名ベース,卸値(税抜),卸値(税込),オリジナルカタログ商品名,ASINコード,オリジナルセット（セット内容を半角英数字）,店舗,購入日,区分,メーカー・問屋半角英字,"カテゴリー
※食品のみ入力でOK",購入・仕入れ額（税込み）,単品仕入れ額（税込み）,仕入れ数量,自己発送,賞味期限（ある場合のみ）分からない場合は今日で入力,A.セット商品数,B.小型軽量P,C.危険物,D.高額品,備考,販売価格（自動計算）,優先コード,メーカー名４文字変換,カテゴリー英字変換,要期限商品,セット加味したFBA納品数,SKU,販売価格,在庫数,商品コード(JANコード等),商品コードのタイプ,商品のコンディション,商品のコンディション説明,対象ASIN,商品名,動作タイプ,セール価格,セール開始日,セール終了日,リードタイム(出荷までにかかる作業日数),商品の公開日,ギフト包装,ギフトメッセージ,フルフィルメントセンターID,使用しない支払い方法,出品者SKUのメイン画像URL,出品者SKUのサブ画像URL1,出品者SKUのサブ画像URL2,出品者SKUのサブ画像URL3,出品者SKUのサブ画像URL4,出品者SKUのサブ画像URL5,配送パターン,商品タックスコード,"""電池の有無""","""電池付属""","""バッテリーセルタイプ""","""電池のタイプ""","""付属バッテリ個数""",電池の重量(グラム),"""リチウムイオン電池単数""","""リチウムメタル電池単数""","""リチウム電池パッケージ""","""リチウム電池エネルギー量""","""リチウム電池重量""",この商品は、危険物に該当しますか？詳細については危険物確認ガイド{X}をご覧ください。1,この商品は、危険物に該当しますか？詳細については危険物確認ガイド{X}をご覧ください。2,この商品は、危険物に該当しますか？詳細については危険物確認ガイド{X}をご覧ください。3,この商品は、危険物に該当しますか？詳細については危険物確認ガイド{X}をご覧ください。4,この商品は、危険物に該当しますか？詳細については危険物確認ガイド{X}をご覧ください。5,国連(UN)番号,安全データシート(SDS) URL,"""商品の重量""","""体積""",引火点(°C),分類／危険物ラベル(適用されるものをすべて選択)1,分類／危険物ラベル(適用されるものをすべて選択)2,分類／危険物ラベル(適用されるものをすべて選択)3,商品の重量の単位,商品の容量の単位,リチウム電池のエネルギー量測定単位,リチウム電池の重量の測定単位,リチウム電池の重量の測定単位,メーカー希望価格,メーカー名,メーカー品番,メーカー商品名,正規品、公式など,の合計を除く商品名,手修正する場合は入力,メインキーワード（一つ）[商品を示すkw],"[CTR,CVRを上げるコピー",検索キーワード,セット品③,"文字数　全角換算
50文字まで","最終商品名
メーカー後ろ","最終商品名
",メーカー後ろ文字数,"バリエーション名
16文字まで","バリエーション名
16文字まで",SKU,サイズ＆自己発/FBA,梱包箱指定,梱包箱寸法,梱包箱コスト,送料,"amazon
カテゴリー",手数料率,手数料計,手数料概算,"競合価格
amazon",価格設定,競合差額,数量,1点当たり販売価格,"利益額
200円以上","利益率
最低8%、15％以上",原価,"販売価格
amazon",差額送料計算,"送料
amazon",合計販売価格,1点当たり販売価格,自己設定差額,利益額,楽天手数料,手数料率,手数料計,手数料概算,"競合価格
楽天",楽天価格設定,"販売価格
amazon",amazon差額差,競合差額,数量,1点当たり販売価格,"利益額
200円以上","利益率
最低8%、15％以上",原価,定期割り価格,初回割り価格,楽天手数料,手数料率,手数料計,手数料概算,"競合価格
Yahoo!",Yahoo!価格設定,"販売価格
amazon",amazon差額差,競合差額,数量,1点当たり販売価格,"利益額
200円以上","利益率
最低8%、15％以上",原価,商品名,"楽天キャッチコピー
AIから取得",商品説明カウント,"Yahoo!キャッチコピー
AIから取得",商品説明カウント,"商品説明文
AIから取得",商品説明カウント,商品説明の箇条書き①,商品説明の箇条書き②,商品説明の箇条書き③,商品説明の箇条書き④,商品説明の箇条書き⑤,メーカー名,検索キーワード,160文字まで、できれば150文字まで,メーカー型番,特記すべき原材料,商品は感熱性ですか？,一人分の数量,一人分の数量単位,原料,ユニット数,商品のユニット数の単位,バリエーションテーマ,バリエーションテーマ2,バリエーション値,子SKU,商品の販売価格,amazon送料,在庫数,親SKU,"定価、
市場価格",商品タックスコード,消費税,原産国/地域,危険物規制の種類,液体物含有,(賞味期限(食品)),(保存方法(食品)),(素材・材質),(商品本体サイズ),(カラー),(その他スペック),(楽天Slug(30字)),"楽天compass
商品URL必須自動入力（半角2~32文字）
この項目に入力した文字列は、以下のような形で商品ページのURLの一部になります。$$\text{[https://item.rakuten.co.jp/](https://item.rakuten.co.jp/)}\underbrace{\text{【店舗のURL】}}_{\text{store-name}}\text{/}\underbrace{\text{【入力した文字列】}}_{\text{item-url-slug}}\text{/}$$",楽天セット数,楽天ジャンルID,楽天ジャンルID名,マスタシリーズ,PC用販売説明文,オプション名(特典),オプション選択肢(特典)1,オプション選択肢(特典)2,オプション選択肢(特典)3,指定セット,プレゼント品を手入力,YahooカテゴリID,(Yahooカテゴリ名),Yahooブランドコード,Yahoo出品済ID,削除CK,Yahoo削除フラグ,Yahoo削除日時,"楽天削除CK	","楽天削除フラグ	","楽天削除日時	",楽天商品管理番号,(梱包:幅(cm)),(梱包:奥(cm)),(梱包:高(cm)),(梱包:3辺計(cm)),(梱包:重量(g)),(★配送サイズ(タリフ)),(★データ根拠),楽天,楽天スペック,楽天CSV,楽天FTP,Yahoo画像,Yahoo出品,⇒AI作業エリア,楽天メイン画像1,楽天白背景画像,楽天サブ画像1,楽天サブ画像2,楽天サブ画像3,楽天サブ画像4,楽天サブ画像5,楽天サブ画像6,楽天サブ画像7,楽天サブ画像8,楽天サブ画像9,楽天サブ画像10,▼マスタ(参考情報(画像URL)),▼マスタ(メインKW(3つ)),▼マスタ(検索KW(商品名用)),▼マスタ(★Amazon検索KW(150字)),▼マスタ(CTRコピー),▼マスタ(楽天Slug(30字)),▼マスタ(Yahooキャッチ(20-30字)),▼マスタ(楽天キャッチ(60-80字)),▼マスタ(商品説明),▼マスタ(箇条書き1),▼マスタ(箇条書き2),▼マスタ(箇条書き3),▼マスタ(箇条書き4),▼マスタ(箇条書き5),▼マスタ(市場価格調査),▼マスタ(梱包:幅(cm)),▼マスタ(梱包:奥(cm)),▼マスタ(梱包:高(cm)),▼マスタ(梱包:3辺計(cm)),▼マスタ(梱包:重量(g)),▼マスタ(★配送サイズ(タリフ)),▼マスタ(★データ根拠),▼マスタ(推奨バリ項目名(軸1)),▼マスタ(推奨バリ項目名(軸2)),▼マスタ(原材料(食品)),▼マスタ(賞味期限(食品)),▼マスタ(保存方法(食品)),▼マスタ(素材・材質),▼マスタ(商品本体サイズ),▼マスタ(カラー),▼マスタ(その他スペック),▼マスタ(★推奨楽天ジャンルID),▼マスタ(楽天ジャンル名),▼マスタ(シリーズ),▼マスタ(ブランド),▼マスタ(原産国),▼マスタ(総個数),▼マスタ(総重量),▼マスタ(総容量),▼マスタ(★推奨YahooカテゴリID),▼マスタ(Yahooカテゴリ名),▼マスタ(★推奨Yahooブランドコード),▼マスタ(Amz:感熱性),▼マスタ(Amz:一人分数量),▼マスタ(Amz:一人分単位),▼マスタ(Amz:ユニット数単位),▼マスタ(Amz:危険物規制),▼マスタ(Amz:液体物含有)
,1,,2,3,4,,,,5,,,6,7,8,,9,10,11,12,13,14,15,16,17,18個で1セット,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,MKLab ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
見本コピーしない⇒,,FALSE,,,,,,,,,,,,,,,,,,,6300,10,FBA,2023/06/03,,小型軽量Pに該当,危険物に該当,,,0,,,,賞味期限を入力⇒,,,,,,ASIN,New,ご覧頂きましてありがとうございます！◆新品・未開封◆配送時、箱に多少のスレ等が発生する場合がございます。◆商品に不具合がある場合はモール規定に従い返品・返金が可能です。◆すり替え防止対策店舗　一部商品は検品して製造番号と検品画像を控えております,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,Rakuten,,,,,,,,,,,,,,0,0,Yahoo,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
